name,resX,resY,widthM,heightM,power,weightKg,depthM,bendAngleDeg,frameHeightM
P1 LEDTITGO,256,256,0.5,0.5,170,12.5,,, 
P2 Curved,192,192,0.5,0.5,150,6.7,0.071,,
P2 XR,192,192,0.5,0.5,150,6.3,,, 
P2 YESTECH,192,192,0.5,0.5,145,6.7,,, 
P3 INFI G1,128,256,0.5,1.0,340,13.4,,, 
P3 INFI G2,128,128,0.5,0.5,170,8.1,,, 
P3 (500×500),128,128,0.5,0.5,200,10.0,,, 
P3 (500×1000),128,256,0.5,1.0,300,14.0,,, 
P3 Spectrum,128,128,0.5,0.5,235,9.0,,, 
P4 YESTECH,104,104,0.5,0.5,150,6.5,,, 
P4 Spectrum,104,104,0.5,0.5,235,9.0,,, 
P5 YESTECH,84,84,0.5,0.5,210,7.0,,, 
P7 ROE,80,80,0.6,0.6,200,7.95,,, 
Transparent(1000x500),256,64,1.0,0.5,210,6.5,,, 
Transparent(500x500),128,64,0.5,0.5,100,4.6,,, 
